from_node_id,from_name,to_node_id,to_name,travel_time_min,distance_m
0,Central Hospital,0,Central Hospital,0.0,0.0
0,Central Hospital,1,Lab 1,6.897903071729318,5122.136792301627
0,Central Hospital,2,Lab 2,4.100148812659049,3348.6375094891087
0,Central Hospital,3,Lab 3,7.766476979344224,5803.422138385928
0,Central Hospital,4,Lab 4,13.654912036248382,11665.9652208119
0,Central Hospital,5,Lab 5,10.129471081514142,7723.643967059185
0,Central Hospital,6,Lab 6,9.816468424774383,7941.039483324403
0,Central Hospital,7,Lab 7,4.600724123116623,3225.3381477246617
0,Central Hospital,8,Lab 8,9.579317707552585,7890.693935480037
0,Central Hospital,9,Lab 9,11.745396996884091,8545.55307662331
0,Central Hospital,10,Lab 10,5.464672239652871,4131.953291537163
0,Central Hospital,11,Lab 11,12.471449687606563,10060.07537884576
0,Central Hospital,12,Lab 12,4.24993481405897,3257.1364209020367
0,Central Hospital,13,Lab 13,10.877158849098342,9074.260659357657
0,Central Hospital,14,Lab 14,9.701336455784832,7037.071388474497
0,Central Hospital,15,Lab 15,8.78186202935617,6570.436255342904
0,Central Hospital,16,Lab 16,10.060280367647069,7689.048610125648
0,Central Hospital,17,Lab 17,15.785893400625275,12829.844992931585
0,Central Hospital,18,Lab 18,6.6517145137027205,5210.554773475042
0,Central Hospital,19,Lab 19,9.722379730492214,8089.909582467909
0,Central Hospital,20,Lab 20,6.8627714111531395,5453.865473549329
0,Central Hospital,21,Lab 21,7.628255765903918,6340.240270138101
0,Central Hospital,22,Lab 22,6.629369450855326,5180.053380904469
0,Central Hospital,23,Lab 23,7.402398506381989,6158.809777386862
0,Central Hospital,24,Lab 24,19.609770103099933,16517.565754579442
0,Central Hospital,25,Lab 25,5.4155025742665766,4286.372500154782
0,Central Hospital,26,Lab 26,4.731837656213391,3846.9420960050275
0,Central Hospital,27,Lab 27,10.540484496450885,8119.995375453781
0,Central Hospital,28,Lab 28,3.547174994776523,2879.5114431584393
0,Central Hospital,29,Lab 29,3.9171721527384618,3245.2792213384987
0,Central Hospital,30,Lab 30,17.025900720773333,14355.229721184993
0,Central Hospital,31,Lab 31,7.232796606620728,5594.907966810644
0,Central Hospital,32,Lab 32,14.830414192179123,12133.61369443426
0,Central Hospital,33,Lab 33,11.238951195734662,9150.631887417914
0,Central Hospital,34,Lab 34,5.251948274636462,4115.392580757499
0,Central Hospital,35,Lab 35,9.604562890525933,7761.5744700895175
0,Central Hospital,36,Lab 36,6.170782654479121,4363.974766184729
0,Central Hospital,37,Lab 37,4.160150598338022,3331.4715897389506
0,Central Hospital,38,Lab 38,8.905235901493807,6803.0318964869375
0,Central Hospital,39,Lab 39,5.0637113440802795,4032.3175937656406
0,Central Hospital,40,Lab 40,4.114436474806246,3214.6773914804094
1,Lab 1,0,Central Hospital,6.791070424586571,5085.000808252975
1,Lab 1,1,Lab 1,0.0,0.0
1,Lab 1,2,Lab 2,5.4176425075712125,4179.53794261277
1,Lab 1,3,Lab 3,2.9061426069459984,2147.77299080257
1,Lab 1,4,Lab 4,7.622394642976324,6858.30528463716
1,Lab 1,5,Lab 5,5.269136709115914,4067.9948194758313
1,Lab 1,6,Lab 6,9.734370192360956,7584.677680998791
1,Lab 1,7,Lab 7,8.709802611061694,6942.166408514401
1,Lab 1,8,Lab 8,5.378156512827193,4366.972669514489
1,Lab 1,9,Lab 9,7.470695251113885,5173.381879526271
1,Lab 1,10,Lab 10,1.868810302662929,1405.3098271087526
